-1,Sagami Bay Region
011,Hokkaido Region
012,Tohoku Region
013,Hokuriku Region
014,Kanto Region
015,Ogasawara Region
016,Tokai Region
017,Kinki Region
018,Chugoku Region
019,Shikoku Region
020,Kyushu Region
021,Okinawa Region
100,Hokkaido Northern Part of Ishikari
101,Hokkaido Central Part of Ishikari
102,Hokkaido Southern Part of Ishikari
105,Hokkaido Northern Part of Oshima
106,Hokkaido Eastern Part of Watashima
107,Hokkaido Western Part of Oshima
110,Hokkaido Hiyama Region
115,Hokkaido Northern Shiribeshi
116,Hokkaido Eastern Shiribeshi
117,Hokkaido Western Shiribeshi
119,Hokkaido Okushiri Island Region
120,Hokkaido Northern Part of Sorachi
121,Hokkaido Central Part of Sorachi
122,Hokkaido Southern Part of Sorachi
125,Hokkaido Northern Part of Kamikawa
126,Hokkaido Central Part of Kamikawa
127,Hokkaido Southern Part of Kamikawa
130,Hokkaido Northern-Central Rumoi
131,Hokkaido Southern Part of Rumoi
135,Hokkaido Northern Part of Soya
136,Hokkaido Southern Part of Soya
139,Hokkaido Rishiri Ribun Island 
140,Hokkaido Abashiri Region
141,Hokkaido Kitami Region
142,Hokkaido Mombetsu Region
145,Hokkaido Western Part of Iburi
146,Hokkaido Central Eastern Iburi
150,Hokkaido Western Part of Hidaka
151,Hokkaido Central Part of Hidaka
152,Hokkaido Eastern Part of Hidaka
155,Hokkaido Northern Part of Tokachi
156,Hokkaido Central Part of Tokachi
157,Hokkaido Southern Part of Tokachi
160,Hokkaido Northern Part of Kushiro
161,Hokkaido Southern Central Kushiro
165,Hokkaido Northern Part of Nemuro
166,Hokkaido Central Part of Nemuro
167,Hokkaido Southern Part of Nemuro
180,Off South-West of Hokkaido
181,Off West of Hokkaido
182,Ishikari Bay Region
183,Off North-West of Hokkaido 
184,Sōya Strait Region
186,Near Kunashiri Island
187,Near Etorofu Island
188,Off Hokkaido Toho
189,Off SE of Nemuro Peninsula
190,Off Kushiro
191,Off Tokachi
192,Off Urakawa
193,Off Tomakomai
194,Uchiura Bay Region
195,Off Soya
196,Off Abashiri
197,Off South-East of Etorofu Island
200,Aomori Pref. Northern Tsugaru
201,Aomori Pref. Southern Tsugaru
202,Aomori Pref. Sampachi-Kamikita
203,Aomori Pref. Shimokita Region
210,North Coastal Region of Iwate Pref.
211,South Coastal Region of Iwate Pref.
212,North Inland Region of Iwate Pref.
213,South Inland Region of Iwate Pref.
220,Northern Part of Miyagi Pref.
221,Southern Part of Miyagi Pref.
222,Central Part of Miyagi Pref.
230,North Coastal Region of Akita Pref.
231,South Coastal Region of Akita Pref.
232,North Inland Region of Akita Pref.
233,South Inland Region of Akita Pref.
240,Yamagata Pref. Shonai Region
241,Yamagata Pref. Mogami Region
242,Yamagata Pref. Murayama Region
243,Yamagata Pref. Yamagata Region
250,Fukushima Pref. Nakadoori Region
251,Fukushima Pref. Hamadoori Region
252,Fukushima Pref. Aizu Region
280,Tsugaru Strait Region
281,Off Yamagata Prefecture
282,Off Akita Prefecture
283,Off West of Aomori Pref.
284,Mutsu Bay Region
285,Off Aomori Prefecture
286,Off Iwate Prefecture
287,Off Miyagi Prefecture
288,Off Sanriku
289,Off Fukushima Prefecture
300,Northern Part of Ibaraki Pref.
301,Southern Part of Ibaraki Pref.
309,Off SE of Chiba Pref.
310,Northern Part of Tochigi Pref.
311,Southern Part of Tochigi Pref.
320,Northern Part of Gumma Pref.
321,Southern Part of Gunma Pref.
330,Northern Part of Saitama Pref.
331,Southern Part of Saitama Pref.
332,Saitama Pref. Chichibu Region
340,North-Eastern Part of Chiba Pref.
